names,session,visit,lead,n_nmean,sdnn,rmssd,pnn50,ulf,vlf,lf,hf,lfhf,ttlpwr,ac,dc,samp_en,ap_en
kv31,10,3,aVR,495.9192546153846,8.246053017948718,1.9032705307771853,2.3252155897435898e-4,4.571994723102564,51.28942141025641,3.2192250285872404,3.349933897604316,0.9097435897435897,117.888897,-2.214865548717949,1.9004256487179487,1.8559299435897436,1.0484734692307693
kv31,10,3,LI,471.71751083333334,12.141725953333333,1.832772870193988,7.3728896e-4,34.689597039566664,338.74681193333333,3.3985548964985868,3.282674180857612,1.3873333333333333,442.65025729999996,-1.90857744,1.724594267,1.6199466755,0.9776617968333333
kv31,10,3,LII,500.96298147058826,8.135585229411765,1.796150972179246,0,4.0840591545,48.39963747058823,3.3852779146494654,3.4283053480458965,0.9932352941176471,119.15102035294117,-2.3728717470588236,1.9473484794117648,1.7535000794117648,1.072096734117647
kv31,10,3,LIII,510.2349492592593,8.648812077777778,1.8568452653611502,0,2.8922020311481482,49.500176037037036,3.6352343284015944,3.6730763660253514,0.9885185185185185,131.56974607407406,-2.676604777777778,2.324230048148148,1.779587474074074,1.024766385925926
kv31,10,3,Vx,436.3223375,16.595765184090908,2.2069384601941353,0.0028757158636363634,67.29733315840909,611.6719724090909,3.360165509957942,3.190930750670683,1.571590909090909,756.7495099545455,-1.760179559090909,1.6380693886363635,1.580995929318182,0.8695063259090909
lc10,22,1,aVF,343.8777,4.846595,1.757095730609964,0,3.448678,23.37914,2.027033942474682,1.0497598725610662,2.66,37.27632,-0.9722222,0.7939189,1.437518,1.250591
lc10,22,1,aVL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
lc10,22,1,aVR,338.02908125,12.988275625,3.027785149439527,0.046304187499999996,8.524427687500001,30.2969148125,2.0644982731021924,2.886556737377698,0.45375,65.14978,-1.6245509375,1.9289365,1.6771943125,1.138952625
lc10,22,1,LI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
lc10,22,1,LII,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
lc10,22,1,LIII,337.0211857142857,4.359400571428571,1.632738821943069,0,1.6686829434285715,20.468344714285713,1.940386735997872,0.8833220206896463,2.9814285714285713,31.69202,-0.9534422,0.7741955142857143,1.3040024285714287,1.1954152857142857
lc10,22,1,Vx,337.1121238095238,4.665148285714285,1.6271682196383168,0,6.706201280476191,28.04041438095238,1.9166870698488632,0.7161612147866786,3.520952380952381,44.00629714285714,-0.9702165857142857,0.7412827142857142,1.3343432857142856,1.1980810476190475
lc10,27,2,aVF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
lc10,27,2,aVL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
lc10,27,2,aVR,372.8685,7.0215543,2.3501861051895117,0.0059828979,0.1222702398,6.4192789,2.7647745696717183,2.6125194738746154,1.2369999999999999,36.629315,-1.2170826,1.4841885,1.6725303,1.2168583
lc10,27,2,LI,372.90868,5.6628211,2.014795090784154,0.0050347175,0.1307829024,6.166769,2.7014367677223476,2.6011925644110594,1.22,35.473885,-1.4825728,1.2258846,1.5920166,1.2993972
lc10,27,2,LII,372.90681,6.8980267,2.3240013089065377,0.0050098946,0.1302547135,6.0439715000000005,2.7417335732814196,2.5749321004101606,1.271,35.418352,-1.6843933,1.374764,1.5906256,1.2036401
lc10,27,2,LIII,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
